x_in,y_in,z_in,x_out,y_out,z_out
0.000000,0.000000,0.000000,6.344607,-4.319074,0.000000
0.663880,0.762194,0.000000,7.094074,-3.489008,0.000000
1.329812,1.522593,0.000000,7.844061,-2.659419,0.000000
1.997653,2.281318,0.000000,8.594552,-1.830280,0.000000
2.667254,3.038488,0.000000,9.345519,-1.001577,0.000000
3.338472,3.794226,0.000000,10.096943,-0.173285,0.000000
4.011163,4.548655,0.000000,10.848798,0.654613,0.000000
4.685182,5.301895,0.000000,11.601064,1.482139,0.000000
5.360388,6.054074,0.000000,12.353717,2.309313,0.000000
6.036637,6.805313,0.000000,13.106734,3.136155,0.000000
6.713789,7.555739,0.000000,13.860093,3.962686,0.000000
7.391702,8.305478,0.000000,14.613771,4.788926,0.000000
8.070235,9.054656,0.000000,15.367745,5.614896,0.000000
8.749248,9.803399,0.000000,16.121993,6.440616,0.000000
9.428601,10.551833,0.000000,16.876492,7.266106,0.000000
10.108154,11.300086,0.000000,17.631219,8.091389,0.000000
10.787766,12.048285,0.000000,18.386151,8.916482,0.000000
11.467299,12.796557,0.000000,19.141268,9.741409,0.000000
12.146611,13.545028,0.000000,19.896544,10.566187,0.000000
12.825563,14.293826,0.000000,20.651959,11.390841,0.000000
13.504015,15.043078,0.000000,21.407470,12.215405,0.000000
14.181826,15.792908,0.000000,22.162950,13.040000,0.000000
14.858856,16.543445,0.000000,22.918245,13.864765,0.000000
15.534963,17.294813,0.000000,23.673199,14.689838,0.000000
16.210057,18.047091,0.000000,24.427665,15.515365,0.000000
16.884292,18.800139,0.000000,25.181478,16.341476,0.000000
17.557896,19.553752,0.000000,25.934498,17.168326,0.000000
18.231097,20.307724,0.000000,26.686554,17.996035,0.000000
18.904126,21.061852,0.000000,27.437507,18.824764,0.000000
19.577208,21.815930,0.000000,28.187194,19.654617,0.000000
20.250576,22.569755,0.000000,28.935927,20.485342,0.000000
20.924456,23.323120,0.000000,29.684520,21.316186,0.000000
21.599078,24.075823,0.000000,30.433831,22.146382,0.000000
22.274668,24.827655,0.000000,31.184715,22.975160,0.000000
22.951455,25.578410,0.000000,31.938013,23.801735,0.000000
23.629655,26.327889,0.000000,32.694571,24.625335,0.000000
24.309158,27.076186,0.000000,33.455207,25.445163,0.000000
24.989440,27.823775,0.000000,34.220736,26.260423,0.000000
25.669954,28.571153,0.000000,34.992292,27.070039,0.000000
26.350152,29.318817,0.000000,35.774186,27.869712,0.000000
27.029489,30.067266,0.000000,36.572412,28.652975,0.000000
27.707411,30.816993,0.000000,37.392829,29.412984,0.000000
28.383372,31.568494,0.000000,38.240653,30.142132,0.000000
29.056810,32.322247,0.000000,39.119807,30.833120,0.000000
29.727178,33.078746,0.000000,40.027015,31.487073,0.000000
30.393893,33.838443,0.000000,40.955335,32.110518,0.000000
31.057237,34.601128,0.000000,41.898988,32.710876,0.000000
31.724200,35.360697,0.000000,42.852329,33.295506,0.000000
32.404865,36.107843,0.000000,43.810584,33.872165,0.000000
33.109100,36.832837,0.000000,44.769048,34.448558,0.000000
33.845651,37.524969,0.000000,45.724346,35.029882,0.000000
34.617022,38.178086,0.000000,46.676795,35.616096,0.000000
